fips,year,total_votes,dem_votes,rep_votes,ind_votes,dem_pct,rep_pct,ind_pct,state,state_name
01,2024,2257052,769391,1457704,29957,34.09,64.58,1.32,01,Alabama
01,2020,2323282,849624,1441170,32488,36.57,62.03,1.4,01,Alabama
01,2016,2123372,729547,1318255,75570,34.36,62.08,3.56,01,Alabama
01,2012,2074338,795696,1255925,22717,38.36,60.55,1.1,01,Alabama
01,2008,2099819,813479,1266546,19794,38.74,60.32,0.94,01,Alabama
01,2004,1883449,693933,1176394,13122,36.84,62.46,0.7,01,Alabama
01,2000,1672551,695602,944409,32540,41.59,56.47,1.9500000000000002,01,Alabama
01,1996,1534349,662165,769044,103140,43.16,50.12,6.7299999999999995,01,Alabama
01,1992,1688060,690080,804283,193697,40.88,47.65,11.48,01,Alabama
01,1988,1378476,549506,815576,13394,39.86,59.17,0.97,01,Alabama
01,1984,1441713,551899,872849,16965,38.28,60.54,1.18,01,Alabama
01,1980,1341929,636730,654192,51007,47.45,48.75,3.8,01,Alabama
01,1976,1182850,659170,504070,19610,55.73,42.61,1.66,01,Alabama
01,1972,1006093,256923,728701,20469,25.54,72.43,2.03,01,Alabama
01,1968,1049917,196579,146923,706415,18.72,13.99,67.29,01,Alabama
01,1964,689817,0,479085,210732,0.0,69.45,30.55,01,Alabama
01,1960,564473,318303,237981,8189,56.39,42.16,1.45,01,Alabama
01,1956,496871,280844,195694,20333,56.52,39.39,4.09,01,Alabama
01,1952,426120,275075,149231,1814,64.55,35.02,0.43,01,Alabama
01,1948,214980,0,40930,174050,0.0,19.04,80.96,01,Alabama
01,1944,244743,198918,44540,1285,81.28,18.2,0.53,01,Alabama
01,1940,294219,250726,42184,1309,85.22,14.34,0.44,01,Alabama
01,1936,275744,238196,35358,2190,86.38,12.82,0.79,01,Alabama
01,1932,245354,207910,34675,2769,84.74,14.13,1.13,01,Alabama
01,1928,248981,127796,120725,460,51.33,48.49,0.18,01,Alabama
01,1924,162355,113138,40615,8602,69.69,25.02,5.3,01,Alabama
01,1920,260307,160560,96589,3158,61.68,37.11,1.21,01,Alabama
01,1916,130728,99409,28662,2657,76.04,21.92,2.03,01,Alabama
01,1912,117869,82438,9717,25714,69.94,8.24,21.81,01,Alabama
01,1908,104932,74374,25372,5186,70.88,24.18,4.94,01,Alabama
01,1904,108845,79857,22472,6516,73.37,20.65,5.99,01,Alabama
01,1900,159692,97129,55612,6951,60.82,34.82,4.35,01,Alabama
01,1896,194580,130298,55673,8609,66.96,28.61,4.42,01,Alabama
01,1892,232543,138135,9184,85224,59.4,3.95,36.65,01,Alabama
01,1888,175085,117314,57177,594,67.0,32.66,0.34,01,Alabama
01,1884,153624,92736,59444,1444,60.37,38.69,0.94,01,Alabama
01,1880,151902,91130,56350,4422,59.99,37.1,2.91,01,Alabama
01,1876,171699,102989,68708,2,59.98,40.02,0.0,01,Alabama
01,1872,169716,79444,90272,0,46.81,53.19,0.0,01,Alabama
01,1868,149594,72921,76667,6,48.75,51.25,0.0,01,Alabama
01,1860,90122,13618,0,76504,15.11,0.0,84.89,01,Alabama
01,1856,75291,46739,0,28552,62.08,0.0,37.92,01,Alabama
02,2024,302024,123626,166383,12015,40.93,55.09,3.9699999999999998,02,Alaska
02,2020,359530,153778,189951,15801,42.77,52.83,4.4,02,Alaska
02,2016,318608,116454,163387,38767,36.55,51.28,12.17,02,Alaska
02,2012,300495,122640,164676,13179,40.81,54.8,4.39,02,Alaska
02,2008,326197,123594,193841,8762,37.89,59.42,2.69,02,Alaska
02,2004,312598,111025,190889,10684,35.52,61.07,3.42,02,Alaska
02,2000,285560,79004,167398,39158,27.67,58.62,13.72,02,Alaska
02,1996,241620,80380,122746,38494,33.27,50.8,15.93,02,Alaska
02,1992,258506,78294,102000,78212,30.29,39.46,30.259999999999998,02,Alaska
02,1988,200116,72584,119251,8281,36.27,59.59,4.14,02,Alaska
02,1984,207605,62007,138377,7221,29.87,66.65,3.48,02,Alaska
