state,r_ev,d_ev,total vote,r_pct,d_pct,r_votes,d_votes,o_votes,year,other2_votes,other_votes,o_pct,winner
New Mexico,4.0,0.0,385931.0,61.05,36.56,235606.0,141084.0,9241.0,1972,,9241.0,2.39,REP
New York,41.0,0.0,7161830.0,58.54,41.21,4192778.0,2951084.0,17968.0,1972,,17968.0,0.25,REP
North Carolina,13.0,0.0,1518612.0,69.46,28.89,1054889.0,438705.0,25018.0,1972,,25018.0,1.65,REP
North Dakota,3.0,0.0,280514.0,62.07,35.79,174109.0,100384.0,6021.0,1972,,6021.0,2.15,REP
Ohio,25.0,0.0,4094787.0,59.63,38.07,2441827.0,1558889.0,94071.0,1972,,94071.0,2.3,REP
Oklahoma,8.0,0.0,1029900.0,73.7,24.0,759025.0,247147.0,23728.0,1972,,23728.0,2.3,REP
Oregon,6.0,0.0,927946.0,52.45,42.33,486686.0,392760.0,48500.0,1972,,48500.0,5.23,REP
Pennsylvania,27.0,0.0,4592105.0,59.11,39.13,2714521.0,1796951.0,80633.0,1972,,80633.0,1.76,REP
Rhode Island,4.0,0.0,415808.0,53.0,46.81,220383.0,194645.0,780.0,1972,,780.0,0.19,REP
South Carolina,8.0,0.0,677880.0,70.58,27.92,478427.0,189270.0,10183.0,1972,,10183.0,1.5,REP
South Dakota,4.0,0.0,307415.0,54.15,45.52,166476.0,139945.0,994.0,1972,,994.0,0.32,REP
Tennessee,10.0,0.0,1201182.0,67.7,29.75,813147.0,357293.0,30742.0,1972,,30742.0,2.56,REP
Texas,26.0,0.0,3472714.0,66.2,33.24,2298896.0,1154291.0,19527.0,1972,,19527.0,0.56,REP
Utah,4.0,0.0,478476.0,67.64,26.39,323643.0,126284.0,28549.0,1972,,28549.0,5.97,REP
Vermont,3.0,0.0,186946.0,62.66,36.47,117149.0,68174.0,1623.0,1972,,1623.0,0.87,REP
Virginia,11.0,0.0,1457019.0,67.84,30.12,988493.0,438887.0,29639.0,1972,,29639.0,2.03,REP
Washington,9.0,0.0,1470847.0,56.92,38.64,837135.0,568334.0,65378.0,1972,,65378.0,4.44,REP
West Virginia,6.0,0.0,762399.0,63.61,36.39,484964.0,277435.0,0.0,1972,,0.0,0.0,REP
Wisconsin,11.0,0.0,1852890.0,53.4,43.72,989430.0,810174.0,53286.0,1972,,53286.0,2.88,REP
Wyoming,3.0,0.0,145570.0,69.01,30.47,100464.0,44358.0,748.0,1972,,748.0,0.51,REP
Alabama,0.0,9.0,1182850.0,42.61,55.73,504070.0,659170.0,19610.0,1976,,19610.0,1.66,DEM
Alaska,3.0,0.0,123574.0,57.9,35.65,71555.0,44058.0,7961.0,1976,,7961.0,6.44,REP
Arizona,6.0,0.0,742719.0,56.37,39.8,418642.0,295602.0,28475.0,1976,,28475.0,3.83,REP
Arkansas,0.0,6.0,769396.0,34.93,64.94,268753.0,499614.0,1029.0,1976,,1029.0,0.13,DEM
California,45.0,0.0,7867117.0,49.35,47.57,3882244.0,3742284.0,242589.0,1976,,242589.0,3.08,REP
Colorado,7.0,0.0,1081135.0,54.05,42.58,584367.0,460353.0,36415.0,1976,,36415.0,3.37,REP
Connecticut,8.0,0.0,1381526.0,52.06,46.9,719261.0,647895.0,14370.0,1976,,14370.0,1.04,REP
Delaware,0.0,3.0,235834.0,46.57,51.98,109831.0,122596.0,3407.0,1976,,3407.0,1.44,DEM
D. C.,0.0,3.0,168830.0,16.51,81.63,27873.0,137818.0,3139.0,1976,,3139.0,1.86,DEM
Florida,0.0,17.0,3150631.0,46.64,51.93,1469531.0,1636000.0,45100.0,1976,,45100.0,1.43,DEM
Georgia,0.0,12.0,1467458.0,32.96,66.74,483743.0,979409.0,4306.0,1976,,4306.0,0.29,DEM
Hawaii,0.0,4.0,291301.0,48.06,50.59,140003.0,147375.0,3923.0,1976,,3923.0,1.35,DEM
Idaho,4.0,0.0,340932.0,59.88,37.12,204151.0,126549.0,10232.0,1976,,10232.0,3.0,REP
Illinois,26.0,0.0,4718833.0,50.1,48.13,2364269.0,2271295.0,83269.0,1976,,83269.0,1.76,REP
Indiana,13.0,0.0,2220362.0,53.32,45.7,1183958.0,1014714.0,21690.0,1976,,21690.0,0.98,REP
Iowa,8.0,0.0,1279306.0,49.47,48.46,632863.0,619931.0,26512.0,1976,,26512.0,2.07,REP
Kansas,7.0,0.0,957845.0,52.49,44.94,502752.0,430421.0,24672.0,1976,,24672.0,2.58,REP
Kentucky,0.0,9.0,1167142.0,45.57,52.75,531852.0,615717.0,19573.0,1976,,19573.0,1.68,DEM
Louisiana,0.0,10.0,1278439.0,45.95,51.73,587446.0,661365.0,29628.0,1976,,29628.0,2.32,DEM
Maine,4.0,0.0,483208.0,48.91,48.07,236320.0,232279.0,14609.0,1976,,14609.0,3.02,REP
Maryland,0.0,10.0,1432273.0,46.96,53.04,672661.0,759612.0,0.0,1976,,0.0,0.0,DEM
Massachusetts,0.0,14.0,2547558.0,40.44,56.11,1030276.0,1429475.0,87807.0,1976,,87807.0,3.45,DEM
Michigan,21.0,0.0,3653749.0,51.83,46.44,1893742.0,1696714.0,63293.0,1976,,63293.0,1.73,REP
Minnesota,0.0,10.0,1949931.0,42.02,54.9,819395.0,1070440.0,60096.0,1976,,60096.0,3.08,DEM
Mississippi,0.0,7.0,769360.0,47.68,49.56,366846.0,381309.0,21205.0,1976,,21205.0,2.76,DEM
Missouri,0.0,12.0,1953600.0,47.47,51.1,927443.0,998387.0,27770.0,1976,,27770.0,1.42,DEM
Montana,4.0,0.0,328734.0,52.84,45.4,173703.0,149259.0,5772.0,1976,,5772.0,1.76,REP
Nebraska,5.0,0.0,607668.0,59.19,38.46,359705.0,233692.0,14271.0,1976,,14271.0,2.35,REP
Nevada,3.0,0.0,201876.0,50.17,45.81,101273.0,92479.0,8124.0,1976,,8124.0,4.02,REP
New Hampshire,4.0,0.0,339618.0,54.75,43.47,185935.0,147635.0,6048.0,1976,,6048.0,1.78,REP
New Jersey,17.0,0.0,3014472.0,50.08,47.92,1509688.0,1444653.0,60131.0,1976,,60131.0,1.99,REP
New Mexico,4.0,0.0,416590.0,50.75,48.28,211419.0,201148.0,4023.0,1976,,4023.0,0.97,REP
New York,0.0,41.0,6534420.0,47.45,51.87,3100791.0,3389558.0,44071.0,1976,,44071.0,0.67,DEM
North Carolina,0.0,13.0,1677906.0,44.22,55.27,741960.0,927365.0,8581.0,1976,,8581.0,0.51,DEM
North Dakota,3.0,0.0,297094.0,51.66,45.8,153470.0,136078.0,7546.0,1976,,7546.0,2.54,REP
Ohio,0.0,25.0,4111873.0,48.65,48.92,2000505.0,2011621.0,99747.0,1976,,99747.0,2.43,DEM
Oklahoma,8.0,0.0,1092251.0,49.96,48.75,545708.0,532442.0,14101.0,1976,,14101.0,1.29,REP
Oregon,6.0,0.0,1029876.0,47.78,47.62,492120.0,490407.0,47349.0,1976,,47349.0,4.6,REP
Pennsylvania,0.0,27.0,4620787.0,47.73,50.4,2205604.0,2328677.0,86506.0,1976,,86506.0,1.87,DEM
Rhode Island,0.0,4.0,411170.0,44.08,55.36,181249.0,227636.0,2285.0,1976,,2285.0,0.56,DEM
South Carolina,0.0,8.0,802594.0,43.13,56.17,346140.0,450825.0,5629.0,1976,,5629.0,0.7,DEM
South Dakota,4.0,0.0,300678.0,50.39,48.91,151505.0,147068.0,2105.0,1976,,2105.0,0.7,REP
Tennessee,0.0,10.0,1476346.0,42.94,55.94,633969.0,825879.0,16498.0,1976,,16498.0,1.12,DEM
Texas,0.0,26.0,4071884.0,47.97,51.14,1953300.0,2082319.0,36265.0,1976,,36265.0,0.89,DEM
Utah,4.0,0.0,541198.0,62.44,33.65,337908.0,182110.0,21180.0,1976,,21180.0,3.91,REP
Vermont,3.0,0.0,187855.0,54.34,43.14,102085.0,81044.0,4726.0,1976,,4726.0,2.52,REP
Virginia,12.0,0.0,1697094.0,49.29,47.96,836554.0,813896.0,46644.0,1976,,46644.0,2.75,REP
Washington,8.0,0.0,1555534.0,50.0,46.11,777732.0,717323.0,60479.0,1976,,60479.0,3.89,REP
West Virginia,0.0,6.0,750674.0,41.93,58.07,314760.0,435914.0,0.0,1976,,0.0,0.0,DEM
Wisconsin,0.0,11.0,2101336.0,47.83,49.5,1004987.0,1040232.0,56117.0,1976,,56117.0,2.67,DEM
Wyoming,3.0,0.0,156343.0,59.3,39.81,92717.0,62239.0,1387.0,1976,,1387.0,0.89,REP
Alabama,9.0,0.0,1341929.0,47.45,48.75,636730.0,654192.0,16481.0,1980,34526.0,51007.0,3.8,REP
Alaska,3.0,0.0,158445.0,26.41,54.35,41842.0,86112.0,11155.0,1980,19336.0,30491.0,19.24,REP
Arizona,6.0,0.0,873945.0,28.24,60.61,246843.0,529688.0,76952.0,1980,20462.0,97414.0,11.15,REP
Arkansas,6.0,0.0,837582.0,47.52,48.13,398041.0,403164.0,22468.0,1980,13909.0,36377.0,4.34,REP
California,45.0,0.0,8587063.0,35.91,52.69,3083661.0,4524858.0,739833.0,1980,238711.0,978544.0,11.4,REP
Colorado,7.0,0.0,1184415.0,31.07,55.07,367973.0,652264.0,130633.0,1980,33545.0,164178.0,13.86,REP
Connecticut,8.0,0.0,1406285.0,38.52,48.16,541732.0,677210.0,171807.0,1980,15536.0,187343.0,13.32,REP
Delaware,3.0,0.0,235668.0,44.87,47.21,105754.0,111252.0,16288.0,1980,2374.0,18662.0,7.92,REP
D. C.,0.0,3.0,173889.0,74.89,13.41,130231.0,23313.0,16131.0,1980,4214.0,20345.0,11.7,DEM
Florida,17.0,0.0,3687026.0,38.5,55.52,1419475.0,2046951.0,189692.0,1980,30908.0,220600.0,5.98,REP
Georgia,0.0,12.0,1597467.0,55.76,40.95,890733.0,654168.0,36055.0,1980,16511.0,52566.0,3.29,DEM
Hawaii,0.0,4.0,303287.0,44.8,42.9,135879.0,130112.0,32021.0,1980,5275.0,37296.0,12.3,DEM
Idaho,4.0,0.0,437431.0,25.19,66.46,110192.0,290699.0,27058.0,1980,9482.0,36540.0,8.35,REP
Illinois,26.0,0.0,4749721.0,41.72,49.65,1981413.0,2358049.0,346754.0,1980,63505.0,410259.0,8.64,REP
Indiana,13.0,0.0,2242033.0,37.65,56.01,844197.0,1255656.0,111639.0,1980,30541.0,142180.0,6.34,REP
Iowa,8.0,0.0,1317661.0,38.6,51.31,508672.0,676026.0,115633.0,1980,17330.0,132963.0,10.09,REP
Kansas,7.0,0.0,979795.0,33.29,57.85,326150.0,566812.0,68231.0,1980,18602.0,86833.0,8.86,REP
Kentucky,9.0,0.0,1294627.0,47.61,49.07,616417.0,635274.0,31127.0,1980,11809.0,42936.0,3.32,REP
Louisiana,10.0,0.0,1548591.0,45.75,51.2,708453.0,792853.0,26345.0,1980,20940.0,47285.0,3.05,REP
Maine,4.0,0.0,523011.0,42.25,45.61,220974.0,238522.0,53327.0,1980,10188.0,63515.0,12.14,REP
Maryland,0.0,10.0,1540496.0,47.14,44.18,726161.0,680606.0,119537.0,1980,14192.0,133729.0,8.68,DEM
Massachusetts,14.0,0.0,2524298.0,41.75,41.9,1053802.0,1057631.0,382539.0,1980,30326.0,412865.0,16.36,REP
Michigan,21.0,0.0,3909725.0,42.5,48.99,1661532.0,1915225.0,275223.0,1980,57745.0,332968.0,8.52,REP
Minnesota,0.0,10.0,2051953.0,46.5,42.56,954174.0,873241.0,174990.0,1980,49548.0,224538.0,10.94,DEM
Mississippi,7.0,0.0,892620.0,48.09,49.42,429281.0,441089.0,12036.0,1980,10214.0,22250.0,2.49,REP
Missouri,12.0,0.0,2099824.0,44.35,51.16,931182.0,1074181.0,77920.0,1980,16541.0,94461.0,4.5,REP
Montana,4.0,0.0,363952.0,32.43,56.82,118032.0,206814.0,29281.0,1980,9825.0,39106.0,10.74,REP
Nebraska,5.0,0.0,640854.0,26.04,65.53,166851.0,419937.0,44993.0,1980,9073.0,54066.0,8.44,REP
Nevada,3.0,0.0,247885.0,26.89,62.54,66666.0,155017.0,17651.0,1980,8551.0,26202.0,10.57,REP
New Hampshire,4.0,0.0,383999.0,28.35,57.74,108864.0,221705.0,49693.0,1980,3737.0,53430.0,13.91,REP
New Jersey,17.0,0.0,2975684.0,38.56,51.97,1147364.0,1546557.0,234632.0,1980,47131.0,281763.0,9.47,REP
New Mexico,4.0,0.0,456237.0,36.78,54.97,167826.0,250779.0,29459.0,1980,8173.0,37632.0,8.25,REP
New York,41.0,0.0,6201959.0,43.99,46.66,2728372.0,2893831.0,467801.0,1980,111955.0,579756.0,9.35,REP
North Carolina,13.0,0.0,1855833.0,47.18,49.3,875635.0,915018.0,52800.0,1980,12380.0,65180.0,3.51,REP
North Dakota,3.0,0.0,301545.0,26.26,64.23,79189.0,193695.0,23640.0,1980,5021.0,28661.0,9.5,REP
Ohio,25.0,0.0,4283603.0,40.91,51.51,1752414.0,2206545.0,254472.0,1980,70172.0,324644.0,7.58,REP
Oklahoma,8.0,0.0,1149708.0,34.97,60.5,402026.0,695570.0,38284.0,1980,13828.0,52112.0,4.53,REP
Oregon,6.0,0.0,1181516.0,38.67,48.33,456890.0,571044.0,112389.0,1980,41193.0,153582.0,13.0,REP
Pennsylvania,27.0,0.0,4561501.0,42.48,49.59,1937540.0,2261872.0,292921.0,1980,69168.0,362089.0,7.94,REP
Rhode Island,0.0,4.0,416072.0,47.67,37.2,198342.0,154793.0,59819.0,1980,3118.0,62937.0,15.13,DEM
South Carolina,8.0,0.0,890083.0,48.04,49.57,427560.0,441207.0,14150.0,1980,7166.0,21316.0,2.39,REP
South Dakota,4.0,0.0,327703.0,31.69,60.53,103855.0,198343.0,21431.0,1980,4074.0,25505.0,7.78,REP
Tennessee,10.0,0.0,1617616.0,48.41,48.7,783051.0,787761.0,35991.0,1980,10813.0,46804.0,2.89,REP
Texas,26.0,0.0,4541637.0,41.42,55.28,1881147.0,2510705.0,111613.0,1980,38172.0,149785.0,3.3,REP
Utah,4.0,0.0,604222.0,20.57,72.77,124266.0,439687.0,30284.0,1980,9985.0,40269.0,6.66,REP
Vermont,3.0,0.0,213207.0,38.41,44.37,81891.0,94598.0,31760.0,1980,4958.0,36718.0,17.22,REP
Virginia,12.0,0.0,1866032.0,40.31,53.03,752174.0,989609.0,95418.0,1980,28831.0,124249.0,6.66,REP
Washington,9.0,0.0,1742394.0,37.32,49.66,650193.0,865244.0,185073.0,1980,41884.0,226957.0,13.03,REP
West Virginia,0.0,6.0,737715.0,49.81,45.3,367462.0,334206.0,31691.0,1980,4356.0,36047.0,4.89,DEM
Wisconsin,11.0,0.0,2273221.0,43.18,47.9,981584.0,1088845.0,160657.0,1980,42135.0,202792.0,8.92,REP
Wyoming,3.0,0.0,176713.0,27.97,62.64,49427.0,110700.0,12072.0,1980,4514.0,16586.0,9.39,REP
Alabama,9.0,0.0,1441713.0,38.28,60.54,551899.0,872849.0,16965.0,1984,,16965.0,1.18,REP
Alaska,3.0,0.0,207605.0,29.87,66.65,62007.0,138377.0,7221.0,1984,,7221.0,3.48,REP
Arizona,7.0,0.0,1025897.0,32.54,66.42,333854.0,681416.0,10627.0,1984,,10627.0,1.04,REP
Arkansas,6.0,0.0,884406.0,38.29,60.47,338646.0,534774.0,10986.0,1984,,10986.0,1.24,REP
California,47.0,0.0,9505423.0,41.27,57.51,3922519.0,5467009.0,115895.0,1984,,115895.0,1.22,REP
Colorado,8.0,0.0,1295381.0,35.12,63.44,454974.0,821818.0,18589.0,1984,,18589.0,1.44,REP
Connecticut,8.0,0.0,1466900.0,38.83,60.73,569597.0,890877.0,6426.0,1984,,6426.0,0.44,REP
Delaware,3.0,0.0,254572.0,39.93,59.78,101656.0,152190.0,726.0,1984,,726.0,0.29,REP
D. C.,0.0,3.0,211288.0,85.38,13.73,180408.0,29009.0,1871.0,1984,,1871.0,0.89,DEM
Florida,21.0,0.0,4180051.0,34.66,65.32,1448816.0,2730350.0,885.0,1984,,885.0,0.02,REP
Georgia,12.0,0.0,1776093.0,39.79,60.17,706628.0,1068722.0,743.0,1984,,743.0,0.04,REP
Hawaii,4.0,0.0,335846.0,43.82,55.1,147154.0,185050.0,3642.0,1984,,3642.0,1.08,REP
Idaho,4.0,0.0,411144.0,26.39,72.36,108510.0,297523.0,5111.0,1984,,5111.0,1.24,REP
Illinois,24.0,0.0,4819088.0,43.3,56.17,2086499.0,2707103.0,25486.0,1984,,25486.0,0.53,REP
Indiana,12.0,0.0,2233069.0,37.68,61.67,841481.0,1377230.0,14358.0,1984,,14358.0,0.64,REP
Iowa,8.0,0.0,1319805.0,45.89,53.27,605620.0,703088.0,11097.0,1984,,11097.0,0.84,REP
Kansas,7.0,0.0,1021991.0,32.6,66.27,333149.0,677296.0,11546.0,1984,,11546.0,1.13,REP
Kentucky,9.0,0.0,1370461.0,39.37,60.04,539589.0,822782.0,8090.0,1984,,8090.0,0.59,REP
Louisiana,10.0,0.0,1706822.0,38.18,60.77,651586.0,1037299.0,17937.0,1984,,17937.0,1.05,REP
Maine,4.0,0.0,553144.0,38.78,60.83,214515.0,336500.0,2129.0,1984,,2129.0,0.38,REP
Maryland,10.0,0.0,1675873.0,47.02,52.51,787935.0,879918.0,8020.0,1984,,8020.0,0.48,REP
Massachusetts,13.0,0.0,2559453.0,48.43,51.22,1239606.0,1310936.0,8911.0,1984,,8911.0,0.35,REP
Michigan,20.0,0.0,3801658.0,40.24,59.23,1529638.0,2251571.0,20449.0,1984,,20449.0,0.54,REP
Minnesota,0.0,10.0,2084449.0,49.72,49.54,1036364.0,1032603.0,15482.0,1984,,15482.0,0.74,DEM
Mississippi,7.0,0.0,940192.0,37.46,61.85,352192.0,581477.0,6523.0,1984,,6523.0,0.69,REP
Missouri,11.0,0.0,2122771.0,39.98,60.02,848583.0,1274188.0,0.0,1984,,0.0,0.0,REP
Montana,4.0,0.0,384377.0,38.18,60.47,146742.0,232450.0,5185.0,1984,,5185.0,1.35,REP
Nebraska,5.0,0.0,652090.0,28.81,70.55,187866.0,460054.0,4170.0,1984,,4170.0,0.64,REP
Nevada,4.0,0.0,286667.0,31.97,65.85,91655.0,188770.0,6242.0,1984,,6242.0,2.18,REP
New Hampshire,4.0,0.0,388954.0,30.95,68.66,120395.0,267051.0,1508.0,1984,,1508.0,0.39,REP
New Jersey,16.0,0.0,3217862.0,39.2,60.09,1261323.0,1933630.0,22909.0,1984,,22909.0,0.71,REP
New Mexico,5.0,0.0,514370.0,39.23,59.7,201769.0,307101.0,5500.0,1984,,5500.0,1.07,REP
New York,36.0,0.0,6806810.0,45.83,53.84,3119609.0,3664763.0,22438.0,1984,,22438.0,0.33,REP
North Carolina,13.0,0.0,2175361.0,37.89,61.9,824287.0,1346481.0,4593.0,1984,,4593.0,0.21,REP
North Dakota,3.0,0.0,308971.0,33.8,64.84,104429.0,200336.0,4206.0,1984,,4206.0,1.36,REP
Ohio,23.0,0.0,4547619.0,40.14,58.9,1825440.0,2678560.0,43619.0,1984,,43619.0,0.96,REP
Oklahoma,8.0,0.0,1255676.0,30.67,68.61,385080.0,861530.0,9066.0,1984,,9066.0,0.72,REP
Oregon,7.0,0.0,1226527.0,43.74,55.91,536479.0,685700.0,4348.0,1984,,4348.0,0.35,REP
Pennsylvania,25.0,0.0,4844903.0,45.99,53.34,2228131.0,2584323.0,32449.0,1984,,32449.0,0.67,REP
Rhode Island,4.0,0.0,410492.0,48.02,51.66,197106.0,212080.0,1306.0,1984,,1306.0,0.32,REP
South Carolina,8.0,0.0,968540.0,35.57,63.55,344470.0,615539.0,8531.0,1984,,8531.0,0.88,REP
South Dakota,3.0,0.0,317867.0,36.53,63.0,116113.0,200267.0,1487.0,1984,,1487.0,0.47,REP
Tennessee,11.0,0.0,1711993.0,41.57,57.84,711714.0,990212.0,10067.0,1984,,10067.0,0.59,REP
Texas,29.0,0.0,5397571.0,36.11,63.61,1949276.0,3433428.0,14867.0,1984,,14867.0,0.28,REP
Utah,5.0,0.0,629656.0,24.68,74.5,155369.0,469105.0,5182.0,1984,,5182.0,0.82,REP
Vermont,3.0,0.0,234561.0,40.81,57.92,95730.0,135865.0,2966.0,1984,,2966.0,1.26,REP
Virginia,12.0,0.0,2146635.0,37.09,62.29,796250.0,1337078.0,13307.0,1984,,13307.0,0.62,REP
Washington,10.0,0.0,1883910.0,42.86,55.82,807352.0,1051670.0,24888.0,1984,,24888.0,1.32,REP
West Virginia,6.0,0.0,735742.0,44.6,55.11,328125.0,405483.0,2134.0,1984,,2134.0,0.29,REP
Wisconsin,11.0,0.0,2212016.0,45.02,54.19,995847.0,1198800.0,17369.0,1984,,17369.0,0.79,REP
Wyoming,3.0,0.0,188968.0,28.24,70.51,53370.0,133241.0,2357.0,1984,,2357.0,1.25,REP
Alabama,9.0,0.0,1378476.0,39.86,59.17,549506.0,815576.0,13394.0,1988,,13394.0,0.97,REP
Alaska,3.0,0.0,200116.0,36.27,59.59,72584.0,119251.0,8281.0,1988,,8281.0,4.14,REP
Arizona,7.0,0.0,1171873.0,38.74,59.95,454029.0,702541.0,15303.0,1988,,15303.0,1.31,REP
Arkansas,6.0,0.0,827738.0,42.19,56.37,349237.0,466578.0,11923.0,1988,,11923.0,1.44,REP
California,47.0,0.0,9887064.0,47.56,51.13,4702233.0,5054917.0,129914.0,1988,,129914.0,1.31,REP
Colorado,8.0,0.0,1372394.0,45.28,53.06,621453.0,728177.0,22764.0,1988,,22764.0,1.66,REP
Connecticut,8.0,0.0,1443394.0,46.87,51.98,676584.0,750241.0,16569.0,1988,,16569.0,1.15,REP
Delaware,3.0,0.0,249891.0,43.48,55.88,108647.0,139639.0,1605.0,1988,,1605.0,0.64,REP
D. C.,0.0,3.0,192877.0,82.65,14.3,159407.0,27590.0,5880.0,1988,,5880.0,3.05,DEM
Florida,21.0,0.0,4302313.0,38.51,60.87,1656701.0,2618885.0,26727.0,1988,,26727.0,0.62,REP
Georgia,12.0,0.0,1809672.0,39.5,59.75,714792.0,1081331.0,13549.0,1988,,13549.0,0.75,REP
Hawaii,0.0,4.0,354461.0,54.27,44.75,192364.0,158625.0,3472.0,1988,,3472.0,0.98,DEM
Idaho,4.0,0.0,408968.0,36.01,62.08,147272.0,253881.0,7815.0,1988,,7815.0,1.91,REP
Illinois,24.0,0.0,4559120.0,48.6,50.69,2215940.0,2310939.0,32241.0,1988,,32241.0,0.71,REP
Indiana,12.0,0.0,2168621.0,39.69,59.84,860643.0,1297763.0,10215.0,1988,,10215.0,0.47,REP
Iowa,0.0,8.0,1225614.0,54.71,44.5,670557.0,545355.0,9702.0,1988,,9702.0,0.79,DEM
Kansas,7.0,0.0,993044.0,42.56,55.79,422636.0,554049.0,16359.0,1988,,16359.0,1.65,REP
Kentucky,9.0,0.0,1322517.0,43.88,55.52,580368.0,734281.0,7868.0,1988,,7868.0,0.59,REP
Louisiana,10.0,0.0,1628202.0,44.06,54.27,717460.0,883702.0,27040.0,1988,,27040.0,1.66,REP
Maine,4.0,0.0,555035.0,43.88,55.34,243569.0,307131.0,4335.0,1988,,4335.0,0.78,REP
Maryland,10.0,0.0,1714358.0,48.2,51.11,826304.0,876167.0,11887.0,1988,,11887.0,0.69,REP
Massachusetts,0.0,13.0,2632805.0,53.23,45.37,1401415.0,1194635.0,36755.0,1988,,36755.0,1.4,DEM
Michigan,20.0,0.0,3669163.0,45.67,53.57,1675783.0,1965486.0,27894.0,1988,,27894.0,0.76,REP
Minnesota,0.0,10.0,2096790.0,52.91,45.9,1109471.0,962337.0,24982.0,1988,,24982.0,1.19,DEM
Mississippi,7.0,0.0,931527.0,39.07,59.89,363921.0,557890.0,9716.0,1988,,9716.0,1.04,REP
Missouri,11.0,0.0,2093228.0,47.85,51.83,1001619.0,1084953.0,6656.0,1988,,6656.0,0.32,REP
Montana,4.0,0.0,365674.0,46.2,52.07,168936.0,190412.0,6326.0,1988,,6326.0,1.73,REP
Nebraska,5.0,0.0,662372.0,39.2,60.15,259646.0,398447.0,4279.0,1988,,4279.0,0.65,REP
Nevada,4.0,0.0,350067.0,37.92,58.86,132738.0,206040.0,11289.0,1988,,11289.0,3.22,REP
