state,r_ev,d_ev,total vote,r_pct,d_pct,r_votes,d_votes,o_votes,year,other2_votes,other_votes,o_pct,winner
Alabama,9.0,0.0,1006093.0,72.43,25.54,728701.0,256923.0,20469.0,1972,,20469.0,2.03,REP
Alaska,3.0,0.0,95219.0,58.13,34.62,55349.0,32967.0,6903.0,1972,,6903.0,7.25,REP
Arizona,6.0,0.0,653505.0,61.64,30.38,402812.0,198540.0,52153.0,1972,,52153.0,7.98,REP
Arkansas,6.0,0.0,647666.0,68.82,30.71,445751.0,198899.0,3016.0,1972,,3016.0,0.47,REP
California,45.0,0.0,8367862.0,55.0,41.54,4602096.0,3475847.0,289919.0,1972,,289919.0,3.46,REP
Colorado,7.0,0.0,953884.0,62.61,34.59,597189.0,329980.0,26715.0,1972,,26715.0,2.8,REP
Connecticut,8.0,0.0,1384277.0,58.57,40.13,810763.0,555498.0,18016.0,1972,,18016.0,1.3,REP
Delaware,3.0,0.0,235516.0,59.6,39.18,140357.0,92283.0,2876.0,1972,,2876.0,1.22,REP
D. C.,0.0,3.0,163421.0,21.56,78.1,35226.0,127627.0,568.0,1972,,568.0,0.35,DEM
Florida,17.0,0.0,2583283.0,71.91,27.8,1857759.0,718117.0,7407.0,1972,,7407.0,0.29,REP
Georgia,12.0,0.0,1174772.0,75.04,24.65,881496.0,289529.0,3747.0,1972,,3747.0,0.32,REP
Hawaii,4.0,0.0,270274.0,62.48,37.52,168865.0,101409.0,0.0,1972,,0.0,0.0,REP
Idaho,4.0,0.0,310379.0,64.24,26.04,199384.0,80826.0,30169.0,1972,,30169.0,9.72,REP
Illinois,26.0,0.0,4723236.0,59.03,40.51,2788179.0,1913472.0,21585.0,1972,,21585.0,0.46,REP
Indiana,13.0,0.0,2125529.0,66.11,33.34,1405154.0,708568.0,11807.0,1972,,11807.0,0.56,REP
Iowa,8.0,0.0,1225944.0,57.61,40.48,706207.0,496206.0,23531.0,1972,,23531.0,1.92,REP
Kansas,7.0,0.0,916095.0,67.66,29.5,619812.0,270287.0,25996.0,1972,,25996.0,2.84,REP
Kentucky,9.0,0.0,1067499.0,63.37,34.77,676446.0,371159.0,19894.0,1972,,19894.0,1.86,REP
Louisiana,10.0,0.0,1051491.0,65.32,28.35,686852.0,298142.0,66497.0,1972,,66497.0,6.32,REP
Maine,4.0,0.0,417271.0,61.46,38.48,256458.0,160584.0,229.0,1972,,229.0,0.05,REP
Maryland,10.0,0.0,1353812.0,61.26,37.36,829305.0,505781.0,18726.0,1972,,18726.0,1.38,REP
Massachusetts,0.0,14.0,2458756.0,45.23,54.2,1112078.0,1332540.0,14138.0,1972,,14138.0,0.58,DEM
Michigan,21.0,0.0,3490325.0,56.2,41.81,1961721.0,1459435.0,69169.0,1972,,69169.0,1.98,REP
Minnesota,10.0,0.0,1741652.0,51.58,46.07,898269.0,802346.0,41037.0,1972,,41037.0,2.36,REP
Mississippi,7.0,0.0,645963.0,78.2,19.63,505125.0,126782.0,14056.0,1972,,14056.0,2.18,REP
Missouri,12.0,0.0,1852589.0,62.29,37.71,1154058.0,698531.0,0.0,1972,,0.0,0.0,REP
Montana,4.0,0.0,317603.0,57.93,37.85,183976.0,120197.0,13430.0,1972,,13430.0,4.23,REP
Nebraska,5.0,0.0,576289.0,70.5,29.5,406298.0,169991.0,0.0,1972,,0.0,0.0,REP
Nevada,3.0,0.0,181766.0,63.68,36.32,115750.0,66016.0,0.0,1972,,0.0,0.0,REP
New Hampshire,4.0,0.0,334059.0,63.98,34.85,213724.0,116435.0,3900.0,1972,,3900.0,1.17,REP
New Jersey,17.0,0.0,2997229.0,61.57,36.77,1845502.0,1102211.0,49516.0,1972,,49516.0,1.65,REP
